City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
濮阳,142,108,149,1.0,19,130,90,11
黔东南州,40,18,36,0.5,17,127,68,6
黔南州,34,6,27,0.4,11,106,65,5
黔西南州,31,10,30,0.75,7,69,40,1
青岛,52,28,52,0.54,31,89,68,12
庆阳,66,37,80,0.5,15,109,87,12
清远,60,19,51,0.65,18,131,110,10
秦皇岛,63,41,73,1.16,37,98,65,25
钦州,48,19,38,0.63,8,124,94,11
齐齐哈尔,120,90,104,0.64,30,105,72,65
七台河,48,25,30,0.5,17,98,94,11
泉州,56,30,59,0.45,16,125,95,9
曲靖,54,37,56,0.7,15,126,90,11
衢州,71,51,69,0.57,7,115,79,6
日喀则,49,9,31,0.5,1,121,97,10
日喀则地区,29,6,27,0.35,2,68,56,5
日照,65,25,77,1.73,33,79,64,25
荣成,46,9,29,0.65,12,96,90,12
乳山,49,13,37,0.6,12,113,96,8
三门峡,99,74,107,0.85,17,123,80,10
三明,37,12,31,0.45,7,104,73,9
三沙,30,7,20,0.3,30,51,58,6
三亚,25,14,18,0.6,10,56,48,2
上海,46,32,42,0.57,39,85,72,12
商洛,61,43,64,0.65,25,96,75,8
商丘,106,79,106,0.8,19,139,93,17
上饶,58,35,64,0.98,3,98,62,10
山南,45,5,7,0.5,9,130,89,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,41,19,40,0.73,14,122,81,8
汕尾,44,14,43,0.57,10,108,86,9
韶关,50,18,46,0.56,12,126,98,9
绍兴,95,63,138,0.97,24,116,85,10
邵阳,61,39,69,0.55,15,141,82,11
沈阳,82,60,86,2.19,54,77,62,46
深圳,46,14,29,0.52,17,124,91,6
石河子,40,27,39,0.4,9,87,57,9
石家庄,186,140,210,2.6,58,106,57,49
十堰,121,91,126,1.02,39,67,60,24
石嘴山,133,101,191,1.65,43,115,65,163
寿光,41,10,19,3.2,16,126,81,67
双鸭山,40,9,9,0.25,7,88,79,3
朔州,66,12,79,0.68,8,121,79,7
四平,46,25,33,0.7,11,106,91,11
松原,53,34,53,0.6,11,117,95,16
绥化,83,61,83,0.7,27,125,83,19
遂宁,65,31,78,0.65,12,135,60,10
随州,78,57,75,0.93,13,107,56,13
宿迁,76,55,70,0.57,21,116,78,11
苏州,72,52,73,1.1,54,81,58,14
宿州,98,73,97,0.67,27,142,94,10
塔城地区,48,8,36,0.6,26,113,94,4
泰安,104,77,119,0.97,33,90,54,19
太仓,62,31,71,0.95,34,84,66,21
太原,121,91,179,1.25,44,113,53,130
台州,61,43,55,0.5,16,121,99,5
泰州,64,45,59,0.68,20,117,83,15
唐山,78,57,101,1.2,52,90,51,24
天津,93,69,111,1.17,40,97,63,28
天水,43,17,42,0.37,18,106,70,11
铁岭,57,33,61,0.85,32,63,68,20
铜川,114,85,124,1.3,26,134,80,29
通化,40,18,28,0.5,13,98,78,5
通辽,59,41,53,0.7,22,117,97,24
铜陵,132,100,121,0.83,37,80,68,19
铜仁地区,55,9,58,0.75,8,131,63,10
吐鲁番地区,150,53,247,0.8,21,54,33,8
瓦房店,55,38,44,0.3,17,107,73,19
潍坊,44,13,43,0.48,15,102,73,12
威海,51,29,50,0.63,13,102,95,9
渭南,139,106,208,1.0,34,87,46,16
文登,49,16,25,0.5,12,109,96,5
文山州,45,19,44,0.6,9,109,69,4
温州,98,73,106,0.73,24,133,96,9
乌海,75,48,98,0.83,21,116,63,44
武汉,61,42,69,0.67,21,117,59,9
芜湖,143,109,0,0.78,32,123,84,17
吴江,72,52,70,0.9,39,88,61,13
五家渠,60,42,60,1.3,17,36,20,53
乌兰察布,50,13,49,0.4,17,105,84,26
乌鲁木齐,81,59,107,1.29,26,81,44,22
武威,60,18,68,0.25,9,118,72,3
无锡,77,56,87,1.11,47,108,75,19
吴忠,72,26,91,0.25,10,86,53,30
梧州,42,28,41,0.8,14,105,63,7
厦门,49,16,48,0.5,14,96,77,6
西安,191,143,199,1.48,63,100,51,18
湘潭,57,33,61,0.79,33,113,61,19
湘西州,65,29,78,0.27,8,115,54,6
襄阳,141,107,128,0.88,29,66,33,15
咸宁,41,24,28,1.2,6,128,81,2
咸阳,165,125,172,1.27,46,121,67,24
孝感,76,55,87,0.8,21,103,66,11
锡林郭勒盟,148,25,243,1.7,6,90,83,22
兴安盟,40,26,38,0.6,8,97,79,15
邢台,119,89,182,1.2,41,115,60,20
西宁,62,25,71,1.17,16,97,60,12
新乡,137,104,156,1.27,34,126,62,12
信阳,70,50,80,0.63,11,132,79,9
新余,62,38,71,0.5,15,113,78,15
忻州,111,83,146,1.6,65,67,37,87
西双版纳州,36,22,32,0.7,6,100,71,2
宣城,81,59,68,0.83,18,115,80,14
许昌,143,109,110,0.8,13,103,66,5
徐州,106,79,101,0.69,27,122,83,16
雅安,62,41,71,0.55,15,114,58,16
延安,61,28,69,1.02,20,118,67,10
延边州,55,8,13,0.43,4,116,104,9
盐城,42,24,37,0.5,12,101,83,9
阳江,57,21,46,0.73,7,134,107,9
阳泉,60,26,67,0.6,16,117,67,24
扬州,70,50,73,0.93,9,114,84,10
烟台,64,35,76,0.87,33,90,77,17
宜宾,64,31,75,0.62,21,143,68,23
宜昌,148,113,138,1.12,23,83,52,10
宜春,53,31,54,0.56,11,119,79,11
伊春,38,9,31,0.25,1,94,75,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,47,30,46,0.9,16,81,54,13
银川,83,42,113,0.73,26,104,72,47
营口,46,25,45,0.55,15,107,69,10
鹰潭,56,29,59,0.42,16,121,74,13
义乌,93,69,85,0.7,19,136,98,9
宜兴,104,77,100,1.7,27,138,85,20
益阳,69,39,86,1.12,18,117,69,9
永州,46,28,45,0.57,15,127,78,8
岳阳,57,36,62,0.72,14,107,64,6
玉林,49,16,39,0.6,7,125,97,8
榆林,61,22,69,0.93,21,117,57,19
运城,132,100,158,1.28,20,129,74,34
云浮,49,18,48,0.47,8,125,84,11
玉树州,32,9,20,0.5,1,101,62,2
玉溪,63,23,73,0.7,14,134,89,13
枣庄,86,63,117,0.94,23,126,79,21
张家港,53,36,52,0.5,25,120,81,163
张家界,59,22,65,0.78,21,116,80,7
张家口,109,70,165,1.68,58,87,68,35
章丘,104,77,129,0.95,27,106,78,24
张掖,52,21,51,0.3,5,110,57,8
漳州,46,15,39,0.53,15,121,90,5
湛江,54,28,51,0.65,11,139,103,9
肇庆,54,19,55,0.53,20,126,89,10
昭通,50,13,41,0.55,9,127,99,11
招远,42,15,41,0.7,25,76,60,8
郑州,175,132,153,0.93,29,109,62,15
镇江,87,64,71,0.63,24,116,71,13
中山,48,21,47,0.5,25,139,85,14
中卫,63,42,74,0.5,22,112,54,19
周口,89,66,107,0.6,15,123,81,9
舟山,43,18,37,0.73,17,90,85,7
珠海,49,23,38,0.57,16,153,97,7
诸暨,87,64,81,1.1,17,126,91,9
驻马店,88,65,95,1.07,25,103,72,15
株洲,58,25,64,0.34,21,115,63,16
淄博,96,71,117,1.37,34,119,76,25
自贡,81,59,101,0.53,15,150,79,11
资阳,73,28,94,0.4,10,136,77,10
遵义,43,12,42,0.5,17,132,81,17
